user_id,emotion,user_id.1,gaze_x,gaze_y,attention_time,emotion_score,engagement_score,Product Features,Eye direction
142,happy,1,172,159,1.609210054,1,2.609210054,NA,NA
975,happy,2,725,316,2.811552666,1,3.811552666,NA,NA
813,happy,3,545,197,3.370256719,1,4.370256719,NA,NA
884,happy,4,576,208,4.875856789,1,5.875856789,NA,NA
407,happy,5,703,198,2.078055353,1,3.078055353,NA,NA
719,sad,6,676,246,3.795054141,0.2,3.995054141,NA,NA
429,surprise,7,733,92,1.798527437,0.8,2.598527437,NA,NA
868,happy,8,114,182,3.331950404,1,4.331950404,NA,NA
887,sad,9,514,73,1.270683346,0.2,1.470683346,NA,NA
130,surprise,10,295,413,2.114676822,0.8,2.914676822,NA,NA
779,neutral,11,492,449,1.200651724,0.5,1.700651724,NA,NA
577,angry,12,753,401,2.5095647,0,2.5095647,NA,NA
760,surprise,13,361,405,3.771900106,0.8,4.571900106,NA,NA
780,surprise,14,687,332,4.691580145,0.8,5.491580145,NA,NA
841,angry,15,573,291,4.964767642,0,4.964767642,NA,NA
397,sad,16,676,68,2.873891581,0.2,3.073891581,NA,NA
587,neutral,17,511,232,2.65680779,0.5,3.15680779,NA,NA
448,angry,18,20,284,4.323697462,0,4.323697462,NA,NA
443,neutral,19,651,263,2.69479404,0.5,3.19479404,NA,NA
243,happy,20,22,381,2.751113251,1,3.751113251,NA,NA
270,happy,21,53,256,4.853096203,1,5.853096203,NA,NA
733,angry,22,143,225,4.860559694,0,4.860559694,NA,NA
238,neutral,23,619,324,4.57593643,0.5,5.07593643,NA,NA
49,angry,24,328,433,4.096341157,0,4.096341157,NA,NA
931,happy,25,61,141,4.273954659,1,5.273954659,NA,NA
998,happy,26,328,358,2.22920652,1,3.22920652,NA,NA
645,surprise,27,526,101,2.354765775,0.8,3.154765775,NA,NA
827,happy,28,215,278,1.166585705,1,2.166585705,NA,NA
10,angry,29,155,145,3.212814152,0,3.212814152,NA,NA
898,angry,30,654,346,1.798950481,0,1.798950481,NA,NA
783,surprise,31,278,36,2.806037913,0.8,3.606037913,NA,NA
516,surprise,32,119,492,3.875844183,0.8,4.675844183,NA,NA
29,surprise,33,568,260,3.405545233,0.8,4.205545233,NA,NA
461,angry,34,14,38,1.723857729,0,1.723857729,NA,NA
453,happy,35,675,337,3.725504899,1,4.725504899,NA,NA
671,neutral,36,563,479,2.968869168,0.5,3.468869168,NA,NA
650,sad,37,252,49,1.340890925,0.2,1.540890925,NA,NA
649,sad,38,711,114,1.745315455,0.2,1.945315455,NA,NA
339,happy,39,673,470,4.456868091,1,5.456868091,NA,NA
611,happy,40,25,183,4.939002859,1,5.939002859,NA,NA
831,surprise,41,658,135,2.486127425,0.8,3.286127425,NA,NA
81,neutral,42,104,84,1.107777987,0.5,1.607777987,NA,NA
944,neutral,43,149,97,2.775057852,0.5,3.275057852,NA,NA
995,surprise,44,9,284,1.661542143,0.8,2.461542143,NA,NA
140,neutral,45,66,404,4.52189887,0.5,5.02189887,NA,NA
704,happy,46,519,152,2.986392437,1,3.986392437,NA,NA
283,neutral,47,285,260,4.766100814,0.5,5.266100814,NA,NA
64,happy,48,79,78,3.57944284,1,4.57944284,NA,NA
103,angry,49,393,234,4.832107693,0,4.832107693,NA,NA
823,sad,50,565,384,2.804806557,0.2,3.004806557,NA,NA
348,sad,51,463,468,1.328200098,0.2,1.528200098,NA,NA
374,surprise,52,133,153,2.674545396,0.8,3.474545396,NA,NA
337,surprise,53,512,152,2.619469649,0.8,3.419469649,NA,NA
251,happy,54,283,318,4.469484759,1,5.469484759,NA,NA
965,surprise,55,394,496,3.500297619,0.8,4.300297619,NA,NA
85,sad,56,580,251,3.315388265,0.2,3.515388265,NA,NA
276,sad,57,525,124,3.66599405,0.2,3.86599405,NA,NA
880,neutral,58,147,459,2.08921675,0.5,2.58921675,NA,NA
659,surprise,59,525,474,2.992135234,0.8,3.792135234,NA,NA
860,surprise,60,615,277,3.013511827,0.8,3.813511827,NA,NA
651,surprise,61,77,276,3.37715358,0.8,4.17715358,NA,NA
957,surprise,62,529,421,2.117210347,0.8,2.917210347,NA,NA
787,angry,63,183,50,3.594657226,0,3.594657226,NA,NA
953,neutral,64,743,325,3.620751162,0.5,4.120751162,NA,NA
270,happy,65,202,353,3.852491538,1,4.852491538,NA,NA
543,happy,66,75,183,1.059545827,1,2.059545827,NA,NA
999,happy,67,489,204,4.8265701,1,5.8265701,NA,NA
385,happy,68,204,20,2.022096045,1,3.022096045,NA,NA
298,happy,69,578,112,4.447643745,1,5.447643745,NA,NA
415,surprise,70,796,91,2.421024703,0.8,3.221024703,NA,NA
930,neutral,71,405,58,4.654300456,0.5,5.154300456,NA,NA
631,surprise,72,490,384,2.721323505,0.8,3.521323505,NA,NA
946,neutral,73,690,244,4.286116538,0.5,4.786116538,NA,NA
499,surprise,74,564,258,2.659703425,0.8,3.459703425,NA,NA
33,neutral,75,738,124,4.178158837,0.5,4.678158837,NA,NA
37,angry,76,12,244,4.107499182,0,4.107499182,NA,NA
40,neutral,77,373,210,1.548254145,0.5,2.048254145,NA,NA
758,neutral,78,261,290,1.296552553,0.5,1.796552553,NA,NA
56,sad,79,343,406,3.933845721,0.2,4.133845721,NA,NA
904,angry,80,181,487,2.807472656,0,2.807472656,NA,NA
446,surprise,81,549,398,4.354041352,0.8,5.154041352,NA,NA
779,neutral,82,481,430,2.485648519,0.5,2.985648519,NA,NA
700,angry,83,12,287,2.320988264,0,2.320988264,NA,NA
902,sad,84,435,42,2.296512661,0.2,2.496512661,NA,NA
267,angry,85,427,495,1.876823364,0,1.876823364,NA,NA
402,surprise,86,537,24,4.366673167,0.8,5.166673167,NA,NA
957,surprise,87,33,24,1.830940664,0.8,2.630940664,NA,NA
964,angry,88,792,111,3.596608521,0,3.596608521,NA,NA
248,surprise,89,674,405,2.322301898,0.8,3.122301898,NA,NA
868,happy,90,535,353,1.124349743,1,2.124349743,NA,NA
516,surprise,91,88,42,2.369719379,0.8,3.169719379,NA,NA
398,happy,92,134,256,4.128571851,1,5.128571851,NA,NA
879,surprise,93,686,65,1.983863558,0.8,2.783863558,NA,NA
495,happy,94,682,244,3.9658042,1,4.9658042,NA,NA
615,angry,95,569,406,2.934595035,0,2.934595035,NA,NA
524,angry,96,319,484,4.648728815,0,4.648728815,NA,NA
981,neutral,97,545,74,2.80393694,0.5,3.30393694,NA,NA
687,happy,98,13,40,2.343762853,1,3.343762853,NA,NA
15,happy,99,3,302,3.62839148,1,4.62839148,NA,NA
68,neutral,100,475,188,1.886625518,0.5,2.386625518,NA,NA
414,angry,101,227,115,3.042405409,0,3.042405409,NA,NA
405,sad,102,570,345,1.74203781,0.2,1.94203781,NA,NA
507,sad,103,668,84,3.940909711,0.2,4.140909711,NA,NA
392,neutral,104,165,206,4.298380881,0.5,4.798380881,NA,NA
799,surprise,105,256,431,2.401859131,0.8,3.201859131,NA,NA
236,surprise,106,612,403,1.284499523,0.8,2.084499523,NA,NA
689,angry,107,19,159,1.827750302,0,1.827750302,NA,NA
567,happy,108,377,443,2.66286069,1,3.66286069,NA,NA
451,sad,109,61,22,3.779028453,0.2,3.979028453,NA,NA
33,neutral,110,231,193,4.190320441,0.5,4.690320441,NA,NA
977,angry,111,94,16,4.707157952,0,4.707157952,NA,NA
634,surprise,112,181,271,2.539266895,0.8,3.339266895,NA,NA
